path,width,height,mode,bytes,sha256
00_OPENING/01_opening_concept_first.png,1448,1086,RGB,2167175,3d03603b2eeec196d9f0cdfc8a7625ae5b488e8f5eb7a8a995cf0e5a45d1a3bb
00_OPENING/02_opening_flagship_klothing.png,1448,1086,RGB,2348790,890d82e7471a97bee4dfdf4f18aa5b67d3632b30c6af0c3977dcc0d55ab7914b
00_OPENING/03_USE_THIS_opening_final_dollar_S_arched_SackReligious_Klothing.png,1448,1086,RGB,2322291,f0608138f902e9e73cc6fdf05a3b47497acea6a95873db172549b108d5c61c62
01_GAMEPLAY_REFERENCE/01_boutique_interior_K_Blanco.png,1672,941,RGB,2337507,f0136fef6f8d541c94b5ddd257079bfb90c98167dcb42c676587aaf6c8f6b464
01_GAMEPLAY_REFERENCE/02_boutique_exterior_drop_van.png,1672,941,RGB,2553159,886aff20f75d9eb5962bcfe9e0b5f89c778a03a02e9b684df30cac54dc6b0271
01_GAMEPLAY_REFERENCE/03_downtown_daytime_open_world.png,1672,941,RGB,2784972,b0f71a519264eb945cdc6cb757523408861eb1b71db05ff764580e13835da66f
01_GAMEPLAY_REFERENCE/04_culture_district_night.png,1672,941,RGB,2729538,e2675a00f04f3ba778cf3427b6a454323a253260f72a495867bb81e6a601fad4
01_GAMEPLAY_REFERENCE/05_901_court_sunset_gameplay.png,1672,941,RGB,2580300,bd5248251dcfb0f0d7a4a2c4d7e0b23e0e8930e5e0b112b257d372296dd2471a
01_GAMEPLAY_REFERENCE/06_downtown_rain_night.png,1672,941,RGB,2499832,a1aa903111c31079a23baa5c2d1906c80fe60eb5027fef324481f8fb8ee8fc7b
01_GAMEPLAY_REFERENCE/07_901_rooftop_court_night.png,1672,941,RGB,2307308,5f5c4c63a300ef642ef5e274ef25529da6cd0d98db3880a7ed3999a61c9c430f
01_GAMEPLAY_REFERENCE/08_alley_merch_delivery.png,1672,941,RGB,2505571,8a85573fa05c384cf40054b638281b6d8e2bbdc37804d61e114d95f62930576d
01_GAMEPLAY_REFERENCE/09_block_party_event.png,1672,941,RGB,2753062,b5a28be6caa75a731157121fee1c331b10e42250febf224b63e8faeb2479a717
01_GAMEPLAY_REFERENCE/10_boutique_customization_UI.png,1672,941,RGB,2188785,54bd25b16319186126023e6b78db0d02ec609175a495fb0a0474799c4c92fca0
02_MATERIAL_SKINS_SET1/01_asphalt_basecolor.png,1254,1254,RGB,3180278,ac96b69cdc71a70ff6514b8bfa245dd1dbe3bd15f6ff9cab6ddf2988e4765d34
02_MATERIAL_SKINS_SET1/02_sidewalk_basecolor.png,1254,1254,RGB,3065546,8fe35e96c9b7a6a9715e7fd44ef09e808c115d34b4605697193ad2b3fb8b1e47
02_MATERIAL_SKINS_SET1/03_old_memphis_brick_basecolor.png,1254,1254,RGB,2324611,a9da041e95b855df21506d7951ea5f6d9ddf24fe21ecfa1f68d27f4b018e411e
02_MATERIAL_SKINS_SET1/04_window_facade_emissive_reference.png,1254,1254,RGB,2194375,bcf1363c3133ef227a04811f0866fbef01cb2975e6994d903680da224bbc52c0
02_MATERIAL_SKINS_SET1/05_rooftop_tar_gravel_basecolor.png,1254,1254,RGB,3445011,0476d653c7f4279f7c243d9cdb138be9a08f1d28360b1d18f30be6949445b593
02_MATERIAL_SKINS_SET1/06_court_wood_basecolor.png,1254,1254,RGB,2705531,f7e38d75edd1a032a006dedc39b10bf3abb0a71c98f38af8012d04f5fd0cf6d6
02_MATERIAL_SKINS_SET1/07_court_lines_and_clay_reference.png,1254,1254,RGB,2926771,9484bd0e041ea89fbd6d9d46ab176d858d8e628de06ee27d18dd1793ef4676ec
02_MATERIAL_SKINS_SET1/08_tree_canopy_topdown.png,1254,1254,RGB,2534883,f73f6cf7071111d4bdb6b3900009558e1212c2122a4d3c43199902afc353e395
02_MATERIAL_SKINS_SET1/09_dark_car_body_metal_basecolor.png,1254,1254,RGB,2931055,d78ffd8289145e610b1568e6e81794cf181747197c1e233555b616d1ba3d570f
02_MATERIAL_SKINS_SET1/10_hq_beale_dark_brick_accent.png,1254,1254,RGB,1555640,cfd4593e9579afa81edc61eba677346ffdf7c8192ebf83b7734ef2809ebf8e86
03_MATERIAL_SKINS_SET2/11_chain_link_fence.png,1254,1254,RGB,2378509,118e8b7eb2be8c8a1adaf56dd80b0250b63bc6ecbe31942479a4c9f50a46a5cf
03_MATERIAL_SKINS_SET2/12_asphalt_road_stripe.png,1254,1254,RGB,3275117,3489f99d8cabb39730ff59e94dbd1abc2274e03666d28ce825a0f313836eaf72
03_MATERIAL_SKINS_SET2/13_polished_warm_concrete.png,1254,1254,RGB,2487825,e4d9ef8dc609cacb1edf7b7a1b8e319da15de7d22a13d279fdd7d31bd72bb1e7
03_MATERIAL_SKINS_SET2/14_dark_wood_panel.png,1254,1254,RGB,1872533,dd7ce54c126aa7ba445f59df73cd8438e405c1cb05be9df5643413cc257449a9
03_MATERIAL_SKINS_SET2/15_rollup_metal_shutter.png,1254,1254,RGB,1950958,c96ac50c6978252ab8c31fd5c81cd687f42c8413f186bce067e6170bb46b2f7f
03_MATERIAL_SKINS_SET2/16_weathered_stucco.png,1254,1254,RGB,3074491,57062cf95ec83401d935c60aadfaebdb8c9bf89bc47f16d797e6806c318781f4
03_MATERIAL_SKINS_SET2/17_green_cinder_block_wall.png,1254,1254,RGB,3185109,774043ddc321c9e189c9081194e57896cd69fb0a8832d5efa91992ac6c86346b
03_MATERIAL_SKINS_SET2/18_storefront_window_grid.png,1254,1254,RGB,1816693,e79b7be0ba8d4673e0309a1950260395ff023e969f2197fb3191aa7d4346c210
03_MATERIAL_SKINS_SET2/19_charcoal_metal_surface.png,1254,1254,RGB,2411510,665c32a3a2b171233485a0af0d4c0984088a40e9f0a5ceaaf880ec7c99f7b2fd
03_MATERIAL_SKINS_SET2/20_green_gold_fabric_stripe.png,1254,1254,RGB,3733940,c0c14f82479da0d5b871708f25187d430ab6201f774081dbad6555d191b3bdae
04_CHARACTER_MAPS/01_core_cast_character_map.png,1448,1086,RGB,2748349,57eb1de4a471b662f7328133b5d15e5df93d053f8092566e99ead1a4eeb1ce3e
04_CHARACTER_MAPS/02_Benji_character_map.png,1448,1086,RGB,2624434,b7d71a4e8849755dfdeecc426fa3202b4ec28295fba4f41828305e61f69cf0d3
04_CHARACTER_MAPS/03_K_Blanco_character_map.png,1448,1086,RGB,2569794,f2c27e1d62700e805fa0ab054a74accf0aa6574caa67320409ab943d38e3c98f
04_CHARACTER_MAPS/04_neighborhood_kids_character_map.png,1448,1086,RGB,2683540,de64da9ed1e20efc00f1a76d85173b02c860a825c22b6ed8d7f6df15157098e4
04_CHARACTER_MAPS/05_boutique_crew_character_map.png,1448,1086,RGB,2655726,02ca3b7b160b31a24b518687c12d007947c0ddf215bc3f6e97c56e53fba0f857
04_CHARACTER_MAPS/06_901_court_character_map.png,1448,1086,RGB,2582975,e17c8ce0334630af5344def3bd255742bd41c9dd38dffefe76dab564ccd984f1
04_CHARACTER_MAPS/07_memphis_street_NPC_character_map.png,1448,1086,RGB,2624901,1841574943b81d42d7f2cf9d53d8db2962c5da4deafaebba7adfe09d6ac5f069
04_CHARACTER_MAPS/08_mission_cast_character_map.png,1448,1086,RGB,2633223,f7b9d36f2193c4c9d36bd4670c7b10cff6b43614ee31e5fa23834a005d726c1d
04_CHARACTER_MAPS/09_crowd_ambient_character_map.png,1448,1086,RGB,2736930,a805794dbb25f0f352b5aa3fc4664e7cdbbfae6453fb32db19aa6c512b9f2e0a
04_CHARACTER_MAPS/10_portraits_expressions_character_map.png,1448,1086,RGB,2542204,5a2a4ab7dd40fe683a6c4684dee09427097a59a856fe5fd0202381b9483525aa
04_CHARACTER_MAPS/11_environment_and_character_reference_sheet.png,1536,1024,RGB,2537651,653b92693327db7f2b81279fdc31dfcd98d712b5f1491e9af343ebfd00130a99
04_CHARACTER_MAPS/12_extended_character_sprite_reference_sheet.png,1536,1024,RGBA,2918316,1d0506b39fab487e2555d36613696d4698b675660331ffee647e5ee3ca0bc77a
05_VEHICLE_MODELS_AND_SKINS/01_vehicle_character_map.png,1448,1086,RGB,2364447,04f494c6b8d8b0457a371f1caaaee245b3f4393ead17398ac13182b6146fecfd
05_VEHICLE_MODELS_AND_SKINS/02_car_skins_and_liveries.png,1448,1086,RGB,2316962,fd1aaf89017bc5401116c089dfe7728b35cb03e36496902d951b08166759fd37
05_VEHICLE_MODELS_AND_SKINS/03_drop_van_delivery_set.png,1448,1086,RGB,2604610,94bf2fbcf9ce41605e6aaaeb2509e985e4c4fb67048f33b91542ee89ef21ea90
